Total Value,Parcel ID,Map Number,Property   Location ,Township ,Land Use,Property Class,Land Area (acreage),Neighborhood Code,Zoning,Legal Desc,Utilities1,Utilities2,Utilities3
"$21,000",01.117990.U814,01637800982675U814,109 CREEKSIDE RD,Barrett,911-Undevelped Land,9-Taxable,.05,01R09C,CRH,UNIT 814,1-All Public,-,-
"$31,160",01.119923,01639801478665,BIG OAK RD,Barrett,911-Undevelped Land,9-Taxable,2.02,01R05,R,LOT 207 PLOT I,8-Electric,-,-
"$2,160",01.13.1.23-1,01638703345580,PREACHER HILL RD T 616,Barrett,912-Non-Perk,9-Taxable,1.53,01R01,R, ,8-Electric,-,-
"$11,200",01.16.1.19,01638702689041,SOUTH OF OAK RIDGE LN,Barrett,911-Undevelped Land,9-Taxable,1.40,01R01,R, ,8-Electric,-,-
"$14,540",01.21.1.45,01638804624160,LOWELL DR,Barrett,911-Undevelped Land,9-Taxable,.09,01R01,R, ,8-Electric,-,-
"$18,360",01.28A.1.40,01648003007696,LAKE IN THE CLOUDS RD,Barrett,913-Developments,9-Taxable,.48,01R06,R,LOT 39 SEC D,8-Electric,-,-
"$5,310",01.28A.1.52,01648003212380,LAKE IN THE CLOUDS RD,Barrett,913-Developments,9-Taxable,.74,01R06,R,LOT 98 SEC D,8-Electric,-,-
"$7,090",01.28A.1.53,01648003213470,LAKE IN THE CLOUDS RD,Barrett,911-Undevelped Land,9-Taxable,.73,01R06,R,LOT 97 SEC D,8-Electric,-,-
"$9,660",01.28A.1.55,01648003214654,LAKE IN THE CLOUDS RD,Barrett,913-Developments,9-Taxable,.56,01R06,R,LOT 95 SEC D,8-Electric,-,-
"$20,520",01.28A.1.72,01648003202924,LAKE IN THE CLOUDS RD,Barrett,913-Developments,9-Taxable,.66,01R06,R,LOT 21 SEC D,8-Electric,-,-
"$18,960",01.28A.3.35,01647004807613,SKYLINE DR,Barrett,911-Undevelped Land,9-Taxable,.53,01R06,R,LOT 89 SEC G,8-Electric,-,-
"$2,190",01.28A.3.84,01647004809465,SKYLINE DR,Barrett,912-Non-Perk,9-Taxable,.85,01R06,R,LOT 90 SEC G,9-None,-,-
"$18,560",01.31.1.3-1,01636800805831,E OF COOLBAUGH TWP LN & T,Barrett,911-Undevelped Land,9-Taxable,.76,01R01,C, ,9-None,-,-
"$18,530",01.6.1.19-17,01639801259004,BIRCH RD,Barrett,911-Undevelped Land,9-Taxable,2.08,01R05,R,LOT 801 PLOT II,8-Electric,-,-
"$2,000",01.7A.2.11,01730701085383,IROQUOIS LP,Barrett,911-Undevelped Land,9-Taxable,.43,01R05,C,GREEN AREA,8-Electric,-,-
"$15,360",01.9.1.48,01638703013487,EAST OF PA 191,Barrett,911-Undevelped Land,9-Taxable,1.12,01C04,MU-V, ,8-Electric,-,-
"$14,200",02.11.2.9-1,02623802561126,*UNASSIGNED,Chestnuthill,911-Undevelped Land,9-Taxable,.19,02R05,R-1, ,8-Electric,-,-
"$17,890",02.110557,02633001073334,JORDON RD,Chestnuthill,911-Undevelped Land,9-Taxable,.93,02R08,R-S,LOT 635A,8-Electric,-,-
"$21,450",02.112194,02625802559501,LAMPLIGHT DR,Chestnuthill,911-Undevelped Land,9-Taxable,.22,02R10,R-1,LOT 1A,8-Electric,-,-
"$6,080",02.12.1.14-2,02623802889713,WEST OF LR 45003,Chestnuthill,115-Residential OBYs,9-Taxable,.75,02R01,R-2, ,8-Electric,-,-
"$4,450",02.15.1.1-10,02632002767515,APPLETREE LN,Chestnuthill,911-Undevelped Land,9-Taxable,.08,02R08,R-S,LOT 1,-,-,8-Electric
"$5,710",02.15.1.1-100,02632004748941,MEADOW LARK LN,Chestnuthill,913-Developments,9-Taxable,.23,02R08,R-S,TR 3 L 16,8-Electric,-,-
"$5,710",02.15.1.1-103,02632004749703,MEADOW LARK LN,Chestnuthill,913-Developments,9-Taxable,.23,02R08,R-S,TR 3 L 20,8-Electric,-,-
"$5,710",02.15.1.1-105,02632004749633,MEADOW LARK LN,Chestnuthill,913-Developments,9-Taxable,.23,02R08,R-S,TR 3 L 22,8-Electric,-,-
"$10,420",02.15.1.1-114,02632002755778,ELDERBERRY LN,Chestnuthill,911-Undevelped Land,9-Taxable,.17,02R08,R-S,E 14,-,-,8-Electric
